video_identifier, status
-081qTv9fXc, Downloaded
-0HRnFhCDdc, Downloaded
-0HKFF7F_BY, Downloaded
-0CNBzthkZ4, Downloaded
-0HOiRx82ts, Downloaded
-0DTZ_WbuEQ, Downloaded
-0Kz1lwvjdU, Downloaded
-0IwCS6Gbjs, Downloaded
-0HOXzejQVw, Downloaded
-0EXMXaj77A, Downloaded
-0Eu83ggVq4, Downloaded
-0EvnroWpVc, Downloaded
-08KE5FkRUU, Downloaded
-0HgQ31lcNM, Downloaded
-0L4z8D2eGs, Downloaded
-0IoUizxRgg, Downloaded
-002n8G5Ty0, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-0KZHI6UISM, Downloaded
-08hnyF57BE, Downloaded
-0Mfuocujdg, Downloaded
-0OK3nbLKgM, Downloaded
-06VQYu3JkE, Downloaded
-0JU38ZQOlY, Downloaded
-0EMaXGGM34, Downloaded
-0QQoIK10U8, Downloaded
-0Li7rc78jQ, Downloaded
-0IEt9-NeV4, Downloaded
-0NIbu2PBlM, Downloaded
-0L4fgr5GE0, Downloaded
-0H3T2B9PH4, Downloaded
-0ES_MVrg1A, Downloaded
-0TewuHEBe8, Downloaded
-0G7LzcNhfU, Downloaded
-0R6wpipD-c, Downloaded
-0SUZKVInwE, Downloaded
-0LoCy0-F9A, Downloaded
-0M6S1qBn8s, Downloaded
-0MLLn0Zg1M, Downloaded
-0N5cgaMCfY, Downloaded
-0WBheGENmk, Downloaded
-0_-I3SnlOY, Downloaded
-0aEYRtpRr8, Downloaded
-0UhLeBCvHE, Downloaded
-0YdR9X0XGw, Downloaded
-0aDlftNdyw, Downloaded
-0WL_HWewTE, Downloaded
-0UkapBq63I, Downloaded
-0MVWb7nJLY, Downloaded
-0VIriroDbc, Downloaded
-0_dVfNdhbs, Downloaded
-0bxrYDcTiw, Downloaded
-0WZKTu0xNk, Downloaded
-0cwhOAsODg, Downloaded
-0ip4JazGXY, Downloaded
-0fgJPN0quo, Downloaded
-0ew-c0w7uc, Downloaded
-0o2B1AEdoQ, Downloaded
-0ZxijKLTgE, Downloaded
-0cS8MCIJZY, Downloaded
-0FwN4ESkWY, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-0_5tJuIrJA, Downloaded
-0eFCgzIWFk, Downloaded
-0cOo0cRVZU, Downloaded
-0gO3FmnKD8, Downloaded
-0oOhwW5i8I, Downloaded
-0eUJLYCmbs, Downloaded
-0_SNslrp4c, Downloaded
-0edhdVNyYk, Downloaded
-0ejPniVcVk, Downloaded
-0lqH3xAz6M, Downloaded
-0qOFqf_eRk, Downloaded
-0i-0rcqj_4, Downloaded
-0khAHlKFlk, Downloaded
-0iEJNyGUxg, Downloaded
-0oKIpIC9Zk, Downloaded
-0p4vG6a5gY, Downloaded
-0j7OgkQNe4, Downloaded
-0ex2By5d8A, Downloaded
-0sXtbpbKSk, Downloaded
-0oMsq-9b6c, Downloaded
-0g3eQYArEg, Downloaded
-0eNQsFHAUU, Downloaded
-0oPhBUAr20, Downloaded
-0tjNvMa1V0, Downloaded
-0l0rX2564k, Downloaded
-0qZJQXGBi4, Downloaded
-0yP0wBW_uQ, Downloaded
-15UpGVyV4w, Downloaded
-0t56gwcfNo, Downloaded
-1-_dKO7AHo, Downloaded
-0pgwqEYYZE, Downloaded
-0r6NmrdKCU, Downloaded
-0tCqGtAVmY, Downloaded
-0pMQbEe8Po, Downloaded
-0wIRDnzOxs, Downloaded
-0sNYhpevoU, Downloaded
-11PBE3gMto, Downloaded
-11n_khUXYo, Downloaded
-1-kRjKWOjs, Downloaded
-141JLtnH-c, Downloaded
-15OAjLm520, Downloaded
-16t8U-dt68, Downloaded
-0zGo1-PIjs, Downloaded
-0uYwPkdl1M, Downloaded
-16TZQLfXUc, Downloaded
-0tnFi1az8k, Downloaded
-10xhPhBo0k, Downloaded
-161TxPabEQ, Downloaded
-11fM_6gask, Downloaded
-157wqwwtAo, Downloaded
-0y_lDefNlc, Downloaded
-0tftZyvJZI, Downloaded
-17SC7D_XuU, Downloaded
-0oJSXJgt7Q, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: Content Warning\nIf the owner of this video has granted you access. please sign in.\n       This video is private.\n'
-10MQYniGkQ, Downloaded
-1CDVqZHKbk, Downloaded
-165n2L_oCY, Downloaded
-15bzogKBOM, Downloaded
-18h7nSDMT4, Downloaded
-18N3scYPX8, Downloaded
-12y8XXUDOA, Downloaded
-0yQNq-O7dw, Downloaded
-12MxdP5uVo, Downloaded
-0lfUaTIAEs, b'ERROR: This video contains content from SME. who has blocked it in your country on copyright grounds.\nSorry about that.\n'
-18XGVQ29Es, Downloaded
-18XGVQ29Es, Downloaded
-1ArXs_BngM, Downloaded
-1GRj5UvVBA, Downloaded
-1EwnNsDNuw, Downloaded
-1B_EOupmCE, Downloaded
-1Kv095GbV8, Downloaded
-1IW-o8YNY0, Downloaded
-1DGD3Ia73c, Downloaded
-1DARulHLgw, Downloaded
-1AV2VguEDw, Downloaded
-1CnUk4O4bE, Downloaded
-18X6h92xpw, Downloaded
-1G5T5BQw9U, Downloaded
-1DQLnNEH8g, Downloaded
-1H5IyO1MNY, Downloaded
-1GUNrYsD4Y, Downloaded
-1Gh2yyYY7M, Downloaded
-1EFu7lgYfU, Downloaded
-1BoHTozHck, Downloaded
-1FMlu902p0, Downloaded
-1Jlocx0tGA, Downloaded
-1Hub6Ps_cc, Downloaded
-1I9Cr36siQ, Downloaded
-1Te0BM0oU8, Downloaded
-1FlCGo8M4E, Downloaded
-1Fa5I5O_40, Downloaded
-1IlTIWPNs4, Downloaded
-1QwhQUzkCg, Downloaded
-1RuTONSbgE, Downloaded
-1RpglW_MLA, Downloaded
-1OQRkDTdd4, Downloaded
-1KtlEOx78I, Downloaded
-1QHAHq6DnE, Downloaded
-1JDt9yf7Zg, Downloaded
-1RxG3SJZfY, Downloaded
-1I_n2fPia4, Downloaded
-1GsilN0qjU, Downloaded
-1QGTcCDaqU, Downloaded
-1XzFG0hqAI, Downloaded
-1L06tE9vL0, Downloaded
-1X2dCZixm0, Downloaded
-1IqhhJEfTI, Downloaded
-1YIbcKYgZ8, Downloaded
-1HT31BzADs, Downloaded
-1MXpPymXFU, Downloaded
-1Vnu1KWOfE, Downloaded
-1Y83SnTyZ0, Downloaded
-1YoSo0X6Og, Downloaded
-1iWWmJmwzI, Downloaded
-1QdDpPLoU0, Downloaded
-1lKx46x_18, Downloaded
-1drJuAKEV8, Downloaded
-1dWGnhjB2A, Downloaded
-1SVP4UYW60, Downloaded
-1KMJ1BZ2mU, Downloaded
-1m7Socn9N8, Downloaded
-1ZGHXvwuas, Downloaded
-1Ur90tnnm0, Downloaded
-1UAS69nDfU, Downloaded
-1YPdxK5Qs8, Downloaded
-1UWSisR2zo, Downloaded
-1lbeA9Jogw, Downloaded
-1Yb_DXqd6k, Downloaded
-1kBD9z_7Ho, Downloaded
-1kJQObmVAs, Downloaded
-1nK1bPQYEc, Downloaded
-1Pe4dntZoE, Downloaded
-1VyqbLf1Pg, Downloaded
-1XOUYwhg8I, Downloaded
-1g7tf2VE8k, Downloaded
-1jgInpm6ZA, Downloaded
-1fj0NQmIZs, Downloaded
-1q7jA3DXQM, Downloaded
-1acQ9odYFg, Downloaded
-1mjzszNHCY, Downloaded
-1l7REefKk0, Downloaded
-1_m2Igd2Yc, Downloaded
-1szlBGvmxY, Downloaded
-1nCh3Vk4Qk, Downloaded
-1rO_BCZZJk, Downloaded
-1th54-55Xc, Downloaded
-1mA-hRoyCs, Downloaded
-1mbYmIZ9iw, Downloaded
-1qwHuGXhuo, Downloaded
-1uuPY2abp8, Downloaded
-1cWuS_-w24, Downloaded
-1oDHydrlR4, Downloaded
-1pjZEQPuLg, Downloaded
-1yjdvpuk6I, Downloaded
-1oDkTvt_g8, Downloaded
-1x8ZVy-ZPo, Downloaded
-1z6wTJmBIU, Downloaded
-1y3mCb3rgk, Downloaded
-1wA8xKlsBA, Downloaded
-1xOBOvoSQg, Downloaded
-1vJ0LtMwPw, Downloaded
-1p1c9QE-CE, Downloaded
-1rkM-owGVk, Downloaded
-28TsHCVYxI, Downloaded
-23ykna85DI, Downloaded
-1taDykxZwQ, Downloaded
-20pR5smXBU, Downloaded
-2-nYjSwo8U, Downloaded
-1uhrasgJ9Q, Downloaded
-24gpfutlco, Downloaded
-2-UN14Rh0M, Downloaded
-21L3qwiNM8, Downloaded
-2C6uZd6tLI, Downloaded
-239HZbaZ0M, Downloaded
-2C-yeMmge0, Downloaded
-24HxQDHOAM, Downloaded
-292dAr-Swc, Downloaded
-23v6JvvGEw, Downloaded
-2-2p5R_ujo, Downloaded
-2FFkuG_5-M, Downloaded
-24MRA3c6vo, Downloaded
-2EqkonWu0w, Downloaded
-2NzBh_RQN4, Downloaded
-29ubzvDWJM, Downloaded
-2KvnLMnrA0, Downloaded
-2KRDEQ2Pfw, Downloaded
-20sSnusEso, Downloaded
-2Et-Qz6M5Q, Downloaded
-2HFZjPOCMk, Downloaded
-2Fv5u2YO5s, Downloaded
-2IvRufK7uc, Downloaded
-1uZSSf2VoE, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-2LiVPczCr8, Downloaded
-2LGHSr6-aU, Downloaded
-2KEkl93snA, Downloaded
-23jfYn7w_0, Downloaded
-25I1b6oR-A, Downloaded
-2FruMQDUR0, Downloaded
-2PliU7SUG8, Downloaded
-2U9f7hb76Q, Downloaded
-2P0FpLga2s, Downloaded
-22U1I2zQf4, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: Content Warning\nIf the owner of this video has granted you access. please sign in.\n       This video is private.\n'
-2VKVjgNuE0, Downloaded
-2JgjPsy4Eo, Downloaded
-2bG5jYkhnE, Downloaded
-2Qe1KlyGqQ, Downloaded
-2ZB7P0lxVw, Downloaded
-2KHLx4pKbc, Downloaded
-2KCU5I3JCU, Downloaded
-2N36vLrHbU, Downloaded
-2bUsDmdPW4, Downloaded
-2JX0RWhbIU, Downloaded
-2g3EWT3HpA, Downloaded
-2gHxh_3BDc, Downloaded
-2VcC1cIexo, Downloaded
-2OEKnzA9vc, Downloaded
-2eq0citAJg, Downloaded
-2OIwKdLW_Q, Downloaded
-2UWP3n_05A, Downloaded
-2gR4G37CA8, Downloaded
-2f7n5RNe-Q, Downloaded
-2mD9qKOW2o, Downloaded
-2UnEKzUgSU, Downloaded
-2n-_dMwd6k, Downloaded
-2j3s0kPKY0, Downloaded
-2iYBWJ_VmU, Downloaded
-2fqi2-o92s, Downloaded
-2pbmcFUlqg, Downloaded
-2Yyzd5YXaQ, Downloaded
-2hoixBAoJ4, Downloaded
-2egBNANLTg, Downloaded
-2tv_BBzNnY, Downloaded
-2lvvVOenJE, Downloaded
-2OIwKdLW_Q, Downloaded
-2gL5FducRk, Downloaded
-2kJpg1NIzM, Downloaded
-2_KimSsCJ8, Downloaded
-2gnGuakDzI, Downloaded
-2mTqXSjCQU, Downloaded
-2keJGQK_jk, Downloaded
-327uLLh08w, Downloaded
-2lIshsAJDI, Downloaded
-2nAugjV9pA, Downloaded
-2jPR5x7kLw, Downloaded
-2jAdijiM14, Downloaded
-2wGjIV21yo, Downloaded
-2wbNIHLYTk, Downloaded
-2zDnjMmI5U, Downloaded
-2uwjAF-OHo, Downloaded
-2u80iFu0wo, Downloaded
-2zA7B3u1r8, Downloaded
-2jqFdD__ag, Downloaded
-2vdj0y_rI4, Downloaded
-2mSk2B2tzo, Downloaded
-2yTc7WxGMM, Downloaded
-2p42aWACGw, Downloaded
-2qnG4SivK0, Downloaded
-2m5zX4IX4w, Downloaded
-2mJ8r8dDrA, Downloaded
-335_2ldGZ4, Downloaded
-31EYtlmnV8, Downloaded
-30CIJF4ces, Downloaded
-2tk9fhAuZ8, Downloaded
-33vrB5w0k4, Downloaded
-35tBEtWL08, Downloaded
-2vSka0wXKY, Downloaded
-36nz7JP2Ac, Downloaded
-38WHsUxF8U, Downloaded
-38C3Y89Ep0, Downloaded
-3B32lodo2M, Downloaded
-33y0PTitL0, Downloaded
-33-tnkVo5g, Downloaded
-2xoeu0GO9U, Downloaded
-32HzN7YtqY, Downloaded
-3AeNB13v8Q, Downloaded
-3A-DZg79LQ, Downloaded
-3ILasp5SPM, Downloaded
-34DlWSfs2g, Downloaded
-3Ck7V6iqPk, Downloaded
-32Wv2WQQYg, Downloaded
-2p5MXILGJQ, Downloaded
-39K6okZkOM, Downloaded
-36wsi2h8ok, Downloaded
-36w146LjVo, Downloaded
-34L0HP4EmY, Downloaded
-39Ue1ss3gI, Downloaded
-39uSAvTQVM, Downloaded
-36efvC2K54, Downloaded
-3CdM-WdMzo, Downloaded
-39sHTky_6o, Downloaded
-362Es94LoQ, Downloaded
-3DaJMYIc5w, Downloaded
-397vV1I2Hs, Downloaded
-370Y7zSvL8, Downloaded
-39wBfgg7HM, Downloaded
-37DmF0zN-c, Downloaded
-3FY2TloDMA, Downloaded
-3EZyImLCXk, Downloaded
-3Aq9BkKY5E, Downloaded
-3IiNL0vh3M, Downloaded
-3Lbosst6AY, Downloaded
-3JOPjBBs3E, Downloaded
-3FDaKBRHPQ, Downloaded
-3Mwkq-7TV4, Downloaded
-3Pcrzag4_8, Downloaded
-3Esu7rw6DM, Downloaded
-3I-5fQwkbo, Downloaded
-3Q_0ZCPj2A, Downloaded
-3FihEVl-R8, Downloaded
-3FP-U4TChs, Downloaded
-3MB4jEHj-k, Downloaded
-3QNE7AY_uE, Downloaded
-3Nz5NOgpXM, Downloaded
-3NWT66PjRg, Downloaded
-3L-WLPIOuo, Downloaded
-3L9Zso_oHg, Downloaded
-3N2gRXnmsE, Downloaded
-3LxDH4ZusU, Downloaded
-3Q3_AATbfc, Downloaded
-3R5JfcogPI, Downloaded
-3KWnb2GY60, Downloaded
-3GJ6WdOrOw, Downloaded
-3T2VPGo2jI, Downloaded
-3O9pOdTSus, Downloaded
-3TTZ9RtlwM, Downloaded
-3MDBlBMIA8, Downloaded
-3Q3XNbCdo0, Downloaded
-3Ry3OruG6s, Downloaded
-3IV0brtkwc, Downloaded
-3QmlvannKw, Downloaded
-3X3JuuolVY, Downloaded
-3W9JmAcHxI, Downloaded
-3Q6aMGFM-E, Downloaded
-3awjo9RVu4, Downloaded
-3dnFPNzuW4, Downloaded
-3S3VX06QHg, Downloaded
-3WGQWL4ELA, Downloaded
-3fTNek-i00, Downloaded
-3XPuktd0_Q, Downloaded
-3dl9ftVyNs, Downloaded
-3Z-qnSOu58, Downloaded
-3SCUTBygd4, Downloaded
-3SmhZu4ZWc, Downloaded
-3b4u5JpqmE, Downloaded
-3Z_2PO7gEg, Downloaded
-3X0E9r8uq0, Downloaded
-3TVWva_uok, Downloaded
-3g_TFW76GI, Downloaded
-3XhJcqE9iY, Downloaded
-3as098jwNs, Downloaded
-3dkp9Yl6ZQ, Downloaded
-3bB-fgYvYs, Downloaded
-3cl74lG6T4, Downloaded
-3geTJNFIWU, Downloaded
-3bF8p91fxY, Downloaded
-3dlwCvBgTI, Downloaded
-3gv9XDUOFA, Downloaded
-3fUqkMBLDo, Downloaded
-3lxPMlK8ag, Downloaded
-3X_biXXXdM, Downloaded
-3d_wBqauwE, Downloaded
-3gKeOleYjU, Downloaded
-3jdmBKycL4, Downloaded
-3pWBL1TJZg, Downloaded
-3c9shAZR_k, Downloaded
-3etcrOAM-E, Downloaded
-3idqFvGZDg, Downloaded
-3icrrOe_yE, Downloaded
-3lhp17hpGw, Downloaded
-3cPJnxtl7U, Downloaded
-3ol0nY-WAg, Downloaded
-3kZSi5qjRM, Downloaded
-3hVTR-MNag, Downloaded
-3t2tQHIpZw, Downloaded
-3oMRfsfzQ0, Downloaded
-3od2TQ1tMw, Downloaded
-3rgILesJwk, Downloaded
-3ikeoGPN1E, Downloaded
-3uzSAz60BQ, Downloaded
-3nc7ljnlFQ, Downloaded
-3uOmg8TxNI, Downloaded
-3oo45vpQV4, Downloaded
-3obWE-4jYY, Downloaded
-3otOHOo7kY, Downloaded
-4-VYUArmkk, Downloaded
-3xWkluOnoU, Downloaded
-3o4mDDFPYk, Downloaded
-3sN2uy_xI8, Downloaded
-3lSf8-QCow, Downloaded
-3gpNKXYQ7o, Downloaded
-41RJ7rJwAA, Downloaded
-3qPALLhP-M, Downloaded
-3vHIwj-1H0, Downloaded
-3pjDfx73Aw, Downloaded
-3wWE2UjjWM, Downloaded
-43eVtuNUH4, Downloaded
-3ofbuRzEFg, Downloaded
-3zcsBnDVzU, Downloaded
-43pVpzmOXU, Downloaded
-3wdy42oiBQ, Downloaded
-4-HI0Klodw, Downloaded
-3tw42iZluk, Downloaded
-487uaKyxkk, Downloaded
-40wt84OhEQ, Downloaded
-46DNkpyApI, Downloaded
-4BLNRb_LcM, Downloaded
-43yKpYDokM, Downloaded
-44FZXc2C0k, Downloaded
-3q1QUUKZ0c, Downloaded
-46zTXID-F8, Downloaded
-3xegQMJ7Fk, Downloaded
-3xIiWHYntU, Downloaded
-41x69LV3D4, Downloaded
-4AxmUAfrSc, Downloaded
-3yC-EmIy0A, Downloaded
-4Ag5_I75Zk, Downloaded
-4A5Vwel4s8, Downloaded
-44LW8Elrdo, Downloaded
-43sC7j9Qa0, Downloaded
-3xkPTxA7oc, Downloaded
-46HteGkVdo, Downloaded
-487Af6pA9s, Downloaded
-43pzCfD0ms, Downloaded
-4C3x47i08U, Downloaded
-4-hlPvEbTg, Downloaded
-48AuLUK1Is, Downloaded
-4C6h5pap-A, Downloaded
-49kzIT5QY4, Downloaded
-4CnFWSrEeU, Downloaded
-4CnFWSrEeU, Downloaded
-4FUO1JxtYg, Downloaded
-48E9wdw6Tg, Downloaded
-4H2Ub_l2QA, Downloaded
-4DYQUMheZ0, Downloaded
-4FrEmEixyk, Downloaded
-4GjKL2bACU, Downloaded
-4HEECqpLUQ, Downloaded
-4NENsdIuYI, Downloaded
-4LYNw70RmQ, Downloaded
-4FLl7iMGPY, Downloaded
-4F6p6CdOzo, Downloaded
-4MZtMtNE3M, Downloaded
-4DPk_TWwr4, Downloaded
-4GpJEw9uXs, Downloaded
-4CxOUPL6o4, Downloaded
-4NGhihabQk, Downloaded
-4KJ6q8GWts, Downloaded
-4Q5hF4j734, Downloaded
-4E8BFFUJ4Q, Downloaded
-4J22HbcfjA, Downloaded
-4IWXA3ch2Y, Downloaded
-4KROO_-M4A, Downloaded
-4HambdW7pw, Downloaded
-4ZqQgKrfUY, Downloaded
-4HzfnOtVeI, Downloaded
-4Q0ouLt0GA, Downloaded
-4dlBfNNRS8, Downloaded
-4NEbD72NGY, Downloaded
-4R56OfmJso, Downloaded
-4UzKPJ8iiM, Downloaded
-4aFe_kvUaI, Downloaded
-4KJAZlzMRQ, Downloaded
-4TM7m_07dg, Downloaded
-4_Q07zuk0w, Downloaded
-4XHW-rTETw, Downloaded
-4UNxGHUISQ, Downloaded
-48nAx22Iwk, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\nSorry about that.\n'
-4ano7snqlI, Downloaded
-4_M902vHy8, Downloaded
-4c_tY98bNg, Downloaded
-4cQyIDxeQ4, Downloaded
-4hbj9ZTCIc, Downloaded
-4cOHrUxr4o, Downloaded
-4oDS3Q8kck, Downloaded
-4Yd-UaMKl4, Downloaded
-4eq1mr1RYo, Downloaded
-4cgAtLBvTc, Downloaded
-4d31XgzGYk, Downloaded
-4hBIMB5SKg, Downloaded
-4do0TqzPJg, Downloaded
-4cDS45kNJw, Downloaded
-4c-YyO9Fos, Downloaded
-4kyx8k8lg4, Downloaded
-4czhey2lwY, Downloaded
-4dAJgJgxdE, Downloaded
-4T5OmGSGrY, Downloaded
-4ei6NIBgDA, Downloaded
-4m2BZWX8qY, Downloaded
-4gdLcqRlSg, Downloaded
-4kKgG116hE, Downloaded
-4gB4uLwij8, Downloaded
-4nflM3cGb8, Downloaded
-4SGqqFS8iU, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: Content Warning\nIf the owner of this video has granted you access. please sign in.\n       This video is private.\n'
-4jo2KgKd5U, Downloaded
-4kN8H3nd-8, Downloaded
-4m_QzxDvxc, Downloaded
-4hw_9qTcSk, Downloaded
-4j-LBFqoho, Downloaded
-4ql_DsxVhY, Downloaded
-4ql_DsxVhY, Downloaded
-4viFSz94q8, Downloaded
-4rVz2wGlhs, Downloaded
-4rho9cuCfk, Downloaded
-4pz4u3SAME, Downloaded
-50SqYJdxL8, Downloaded
-4rQAS_gF_U, Downloaded
-55KBJ-zX7k, Downloaded
-4oDzGSj4q4, Downloaded
-5-18jQiQzY, Downloaded
-4r6VLqGeK4, Downloaded
-4z6LUW4SH0, Downloaded
-4c0jk_KeDw, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video has been removed by the user\nSorry about that.\n'
-51he86iZCY, Downloaded
-51p8XCHUvU, Downloaded
-5APR-Y7gtI, Downloaded
-4uPYtpl12U, Downloaded
-54UGh2sZZk, Downloaded
-54-4pEYATY, Downloaded
-4ybF8b7JdA, Downloaded
-587TKXIMZU, Downloaded
-4vmG6FBUD4, Downloaded
-554HrHdv14, Downloaded
-53DvfE42gE, Downloaded
-54Ntbjeiis, Downloaded
-50rKj9WZgA, Downloaded
-5CL-xl2yWY, Downloaded
-559aWhwjuk, Downloaded
